                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 2.1492,                 1.6481,                 2.0412,                0.73182,                    0.4,                0.64399,                0.17352,                 2.8082,                 2.3411,                  2.172,              0.0006833,              0.0006833,              0.0006833
                    135,                 2.1717,                 1.6239,                 1.9597,                0.70833,                  0.325,                 0.5278,                0.08911,                  3.119,                 2.4416,                  2.308,              0.0006734,              0.0006734,              0.0006734
                    136,                 2.3285,                  1.713,                 2.1115,                0.83389,                0.33488,                0.58636,                0.08989,                 3.1841,                  2.457,                 2.3296,              0.0006635,              0.0006635,              0.0006635
                    137,                 2.1638,                  1.594,                 2.0291,                0.67132,                    0.4,                0.49431,                0.13155,                  3.128,                 2.3344,                 2.2611,              0.0006536,              0.0006536,              0.0006536
                    138,                 2.0626,                 1.6073,                 2.0108,                0.61079,                    0.4,                0.52978,                0.16594,                 3.0293,                 2.2384,                 2.1952,              0.0006437,              0.0006437,              0.0006437
                    139,                   2.17,                 1.6185,                 2.0579,                0.68063,                    0.4,                0.55649,                0.19557,                 2.8426,                 2.0905,                 2.1563,              0.0006338,              0.0006338,              0.0006338
                    140,                 2.1472,                 1.5815,                 1.9306,                0.67378,                0.41423,                0.60268,                0.19666,                 2.6772,                 1.9415,                 2.1437,              0.0006239,              0.0006239,              0.0006239
                    141,                 2.1356,                 1.5903,                 1.9921,                0.72106,                    0.6,                0.74792,                0.19646,                 2.6032,                 1.8092,                 2.1884,               0.000614,               0.000614,               0.000614
                    142,                 2.1566,                 1.5711,                 1.9751,                0.95007,                    0.6,                0.78994,                0.22365,                 2.4714,                 1.6726,                  2.119,              0.0006041,              0.0006041,              0.0006041
                    143,                  2.259,                 1.6229,                  2.092,                0.96751,                    0.6,                0.77533,                0.25487,                  2.517,                 1.6364,                 2.0475,              0.0005942,              0.0005942,              0.0005942
                    144,                 2.0914,                 1.5414,                 1.9746,                0.81478,                0.58753,                 0.7152,                0.28059,                  2.396,                 1.5481,                 1.9605,              0.0005843,              0.0005843,              0.0005843
                    145,                 2.0894,                  1.582,                 2.0177,                0.77542,                    0.6,                0.71175,                0.30944,                 2.1487,                 1.5084,                 1.8825,              0.0005744,              0.0005744,              0.0005744
