                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 2.4621,                 2.0041,                 2.3468,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.4199,                 4.9122,                 4.2219,               0.001319,               0.001319,               0.001319
                     99,                 2.4667,                 1.8838,                 2.2501,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.3775,                 4.8283,                 4.2086,              0.0013261,              0.0013261,              0.0013261
                    100,                 2.3864,                 1.8738,                 2.1738,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.2976,                 4.7036,                 4.1562,              0.0013331,              0.0013331,              0.0013331
                    101,                 2.5466,                 1.9901,                 2.3002,                0.00141,                0.06667,                0.00076,                0.00015,                 4.1393,                 4.4718,                  4.029,                0.00134,                0.00134,                0.00134
                    102,                 2.5724,                  1.969,                 2.2886,                0.00436,                    0.2,                0.13717,                0.02053,                 4.0826,                 3.7683,                  3.748,              0.0013334,              0.0013334,              0.0013334
                    103,                 2.4301,                 1.9688,                 2.3216,                0.00173,                0.06667,                0.01381,                0.00138,                 4.6798,                 3.4133,                 3.7679,              0.0013268,              0.0013268,              0.0013268
                    104,                 2.3633,                 1.9545,                 2.1923,                0.00163,                0.06667,                0.00089,                0.00026,                 4.8453,                 3.3246,                 3.7734,              0.0013202,              0.0013202,              0.0013202
                    105,                 2.3949,                 1.9508,                  2.197,                0.00336,                0.13333,                0.02338,                0.00468,                 4.7411,                  3.377,                 3.7201,              0.0013136,              0.0013136,              0.0013136
                    106,                 2.4055,                 1.9279,                 2.1868,                0.44157,                0.06667,                0.03669,                0.01094,                 4.6014,                 3.2855,                 3.5948,               0.001307,               0.001307,               0.001307
                    107,                 2.4157,                 1.8377,                 2.2191,                0.03515,                0.06667,                0.02403,                0.00595,                 4.2847,                 3.0884,                 3.4688,              0.0013004,              0.0013004,              0.0013004
                    108,                 2.3338,                  1.855,                 2.2079,                0.05201,                0.06667,                0.03611,                 0.0058,                 3.9982,                  2.847,                 3.3077,              0.0012938,              0.0012938,              0.0012938
                    109,                 2.3148,                 1.7616,                 2.0637,                0.00975,                0.33333,                0.02275,                 0.0047,                  3.823,                 2.9339,                 3.2222,              0.0012872,              0.0012872,              0.0012872
                    110,                 2.3507,                 1.7818,                 2.1054,                 0.0388,                0.06667,                0.04727,                0.01062,                 3.5722,                  2.915,                  3.071,              0.0012806,              0.0012806,              0.0012806
                    111,                 2.3805,                 1.7064,                 2.1617,                0.09206,                0.13333,                0.05063,                0.01574,                 3.6138,                 2.8527,                 3.0921,               0.001274,               0.001274,               0.001274
                    112,                 2.2824,                 1.7821,                  2.164,                0.08668,                0.06667,                0.05013,                0.01835,                 3.5849,                  2.685,                  3.084,              0.0012674,              0.0012674,              0.0012674
                    113,                 2.3473,                 1.8382,                 2.2435,                 0.1174,                0.11617,                0.06489,                0.02189,                 3.4578,                 2.6259,                  3.047,              0.0012608,              0.0012608,              0.0012608
                    114,                  2.185,                 1.8078,                 2.1523,                0.11047,                0.12466,                0.07614,                0.02309,                 3.4165,                 2.7482,                 2.9393,              0.0012542,              0.0012542,              0.0012542
                    115,                 2.2927,                 1.8007,                 2.1085,                 0.1055,                0.13333,                0.06556,                 0.0234,                 3.5663,                 2.9367,                 3.0506,              0.0012476,              0.0012476,              0.0012476
                    116,                 2.3431,                 1.7437,                 2.1137,                0.10119,                 0.1658,                 0.0673,                0.02516,                 3.6375,                 2.9401,                 3.0535,               0.001241,               0.001241,               0.001241
                    117,                 2.2946,                 1.8284,                 2.0718,                0.11546,                0.06667,                0.02408,                0.00728,                 3.9065,                 2.8585,                 3.0783,              0.0012344,              0.0012344,              0.0012344
                    118,                 2.2845,                 1.8535,                  2.135,                0.09598,                    0.2,                0.04866,                0.00843,                 3.7293,                 2.4946,                 3.0038,              0.0012278,              0.0012278,              0.0012278
                    119,                 2.3619,                 1.8615,                 2.1777,                0.07992,                    0.2,                0.04638,                0.01077,                 3.6622,                 2.4478,                 2.9929,              0.0012212,              0.0012212,              0.0012212
                    120,                 2.3696,                 1.9113,                 2.3092,                0.09895,                    0.2,                0.04044,                 0.0076,                 3.6856,                 2.4072,                 3.0775,              0.0012146,              0.0012146,              0.0012146
                    121,                 2.2391,                 1.7807,                 2.1624,                0.12195,                    0.2,                0.05776,                0.01137,                  3.929,                 2.3531,                  3.305,               0.001208,               0.001208,               0.001208
                    122,                 2.2981,                  1.814,                 2.1304,                0.10298,                0.13333,                0.03276,                0.00541,                  3.916,                 2.9816,                 3.4815,              0.0012014,              0.0012014,              0.0012014
                    123,                 2.3871,                 1.7907,                 2.1065,                0.08395,                0.13333,                0.02519,                0.00502,                 3.7683,                 3.7206,                 3.4992,              0.0011948,              0.0011948,              0.0011948
                    124,                 2.2894,                 1.7744,                 2.0868,                 0.1273,                0.13333,                0.03021,                 0.0072,                 3.8841,                 4.8382,                 3.5181,              0.0011882,              0.0011882,              0.0011882
                    125,                 2.2919,                 1.7181,                  2.008,                0.09667,                0.13333,                0.02067,                0.00642,                 3.7965,                 4.8018,                 3.3218,              0.0011816,              0.0011816,              0.0011816
                    126,                 2.2479,                  1.722,                 2.0534,                0.09833,                0.13333,                0.01959,                0.00682,                 3.7553,                  4.805,                 3.4909,               0.001175,               0.001175,               0.001175
                    127,                 2.1762,                 1.7065,                  2.068,                 0.0961,                    0.2,                0.02577,                0.00944,                 3.6908,                 4.6659,                 3.7103,              0.0011684,              0.0011684,              0.0011684
                    128,                 2.3242,                 1.8268,                 2.1307,                0.14253,                    0.2,                 0.0589,                0.02757,                 3.5905,                 4.4051,                 3.7193,              0.0011618,              0.0011618,              0.0011618
                    129,                  2.246,                 1.7801,                 2.1526,                0.24052,                    0.2,                0.08864,                0.04134,                 3.3884,                 4.3526,                 3.6198,              0.0011552,              0.0011552,              0.0011552
